数据时间,有功功率最大值（kw）,有功功率最小值（kw）
2021/8/2,103169.602,71603.32452
2021/8/3,106424.0326,78160.96302
2021/8/4,109341.5956,76967.13172
2021/8/5,112525.651,72184.17671
2021/8/6,105077.8179,67670.10952
2021/8/7,106427.3902,79739.16302
2021/8/8,106108.1166,70811.36768
2021/8/9,109306.3015,80054.02544
2021/8/10,105836.5151,71557.04214
2021/8/11,108723.9908,74885.74651
2021/8/12,116298.7914,83225.11528
2021/8/13,107602.484,77014.92972
2021/8/14,114284.8418,83208.90883
2021/8/15,105814.7403,65876.26757
2021/8/16,104685.7764,71339.38614
2021/8/17,112907.1474,75089.59077
2021/8/18,107047.7956,71951.06377
2021/8/19,117605.4995,80241.20975
2021/8/20,110026.6233,73058.73152
2021/8/21,104416.3577,72986.37507
2021/8/22,103341.7813,71739.17387
2021/8/23,101502.7728,75328.96965
2021/8/24,112033.9243,76359.60621
2021/8/25,110639.9561,78882.10463
2021/8/26,120063.0386,84794.98148
2021/8/27,123413.6104,84420.64777
2021/8/28,115908.0477,84674.61161
2021/8/29,110305.7544,81671.12916
2021/8/30,116665.2812,81206.60743
2021/8/31,118987.7015,86113.9565
2021/9/1,102401.8985,71087.80102
2021/9/2,105048.6379,68984.16285
2021/9/3,105772.5408,81916.59968
2021/9/4,115530.1365,85038.4058
2021/9/5,108379.6398,77878.45126
2021/9/6,107979.8124,76548.75796
2021/9/7,115873.385,80263.6162
2021/9/8,107881.2561,77945.40859
2021/9/9,116414.1039,75445.22977
2021/9/10,103902.0566,72361.59351
2021/9/11,110109.7255,77739.48854
2021/9/12,117639.753,84329.84267
2021/9/13,117576.0263,78491.58837
2021/9/14,112794.9361,81746.45245
2021/9/15,105093.4218,72903.71557
2021/9/16,112955.679,77423.74937
2021/9/17,106896.0814,77942.92223
2021/9/18,114788.1239,72781.34871
2021/9/19,111492.08,83664.92573
2021/9/20,114859.4346,83941.24834
2021/9/21,116906.9914,86128.17537
2021/9/22,115689.9794,87723.32595
2021/9/23,121210.782,89879.80585
2021/9/24,110293.329,76351.3176
2021/9/25,118634.952,80781.8413
2021/9/26,111848.9016,83130.17753
2021/9/27,112185.5155,81549.60519
2021/9/28,107104.9141,69396.1268
2021/9/29,105366.2757,76729.62872
2021/9/30,110819.7117,78249.05429
2021/10/1,118847.3785,81458.8353
2021/10/2,100778.4483,77283.64704
2021/10/3,113039.0842,76183.42584
2021/10/4,112748.9276,83914.37838
2021/10/5,119556.5292,79621.53652
2021/10/6,114121.6041,93810.35188
2021/10/7,113414.7463,77568.6722
2021/10/8,103465.9272,78460.62878
2021/10/9,112062.274,78271.16993
2021/10/10,112844.7525,85144.95828
2021/10/11,121926.2644,92935.76659
2021/10/12,110132.1959,82146.57795
2021/10/13,116011.5888,79095.69602
2021/10/14,106385.5912,69356.60722
2021/10/15,107673.8531,81175.64665
2021/10/16,115840.5581,86498.22101
2021/10/17,113349.2051,75286.24783
2021/10/18,116153.5456,85533.90957
2021/10/19,117864.1789,79264.2979
2021/10/20,110694.9412,80001.29627
2021/10/21,115225.5858,76897.03362
2021/10/22,110579.9532,82065.97002
2021/10/23,118557.4635,81395.48184
2021/10/24,111135.5332,78701.84203
2021/10/25,109304.9346,87548.15614
2021/10/26,114405.4859,82491.12627
2021/10/27,117722.8459,77637.93057
2021/10/28,115059.3028,84020.81471
2021/10/29,115780.598,85550.85363
2021/10/30,114247.7843,71573.36498
2021/10/31,120502.3381,83040.4998
2021/11/1,117699.7619,90606.92119
