数据时间,有功功率最大值（kw）,有功功率最小值（kw）
2021/8/2,87537.38074,14411.13654
2021/8/3,95135.81226,21865.90806
2021/8/4,102755.8474,18525.50318
2021/8/5,98553.80824,9817.545239
2021/8/6,83219.00303,20136.45148
2021/8/7,95460.61003,15516.82946
2021/8/8,103148.611,12733.92438
2021/8/9,97737.63568,18646.82978
2021/8/10,94282.41657,18977.90436
2021/8/11,92199.35411,13117.07649
2021/8/12,94683.54364,23587.92383
2021/8/13,104088.4151,13960.07477
2021/8/14,94380.3602,17989.94042
2021/8/15,88839.35928,17992.74128
2021/8/16,93213.58139,16894.33432
2021/8/17,91155.28091,20562.20247
2021/8/18,86062.53702,23972.46746
2021/8/19,95807.03875,20441.05484
2021/8/20,83442.44722,15544.99896
2021/8/21,87432.17466,18578.57138
2021/8/22,85858.4622,15347.59356
2021/8/23,95304.09098,17997.59682
2021/8/24,81688.90686,21648.93175
2021/8/25,89817.71944,20969.47641
2021/8/26,74003.13529,21130.87612
2021/8/27,83306.12674,20855.34527
2021/8/28,92359.51748,17059.31422
2021/8/29,85614.48203,20586.42079
2021/8/30,85906.19032,15462.9981
2021/8/31,88909.22699,22320.49835
2021/9/1,94640.99638,14128.92704
2021/9/2,89683.44173,18187.39651
2021/9/3,98838.0551,19239.07135
2021/9/4,75064.80867,20427.27154
2021/9/5,73783.65544,21657.68007
2021/9/6,82442.78312,19637.41259
2021/9/7,94390.05439,18278.21516
2021/9/8,86391.41723,12305.70511
2021/9/9,83080.6289,20178.85155
2021/9/10,81933.46749,20402.33469
2021/9/11,93460.47318,20531.71553
2021/9/12,92133.20872,17380.75808
2021/9/13,81824.28885,21491.63086
2021/9/14,74478.79553,22455.53499
2021/9/15,89099.21206,12729.63157
2021/9/16,86497.22178,18232.56704
2021/9/17,81657.22049,17308.53601
2021/9/18,82475.16647,18861.20293
2021/9/19,76704.67421,21775.85185
2021/9/20,81190.24734,19756.59229
2021/9/21,79514.05084,28044.72384
2021/9/22,84211.32216,13517.72752
2021/9/23,84310.17793,17817.82741
2021/9/24,78781.64184,15524.05467
2021/9/25,88590.17758,17682.82748
2021/9/26,83649.82275,19092.2373
2021/9/27,72193.23316,16416.74387
2021/9/28,87771.43997,21701.40502
2021/9/29,79336.14985,14695.36639
2021/9/30,85691.32444,19122.65495
2021/10/1,83221.67495,12852.3551
2021/10/2,79233.36551,22618.11761
2021/10/3,69608.19215,16593.98685
2021/10/4,69518.67015,19799.38975
2021/10/5,85529.51764,13125.9383
2021/10/6,79506.01922,22734.80226
2021/10/7,68180.06542,17624.54854
2021/10/8,74483.97368,18126.43081
2021/10/9,76599.73781,18546.04653
2021/10/10,76811.93983,16902.73609
2021/10/11,73340.51634,19498.9017
2021/10/12,61529.3605,17864.84511
2021/10/13,76175.59299,18607.33261
2021/10/14,85730.31085,10464.64463
2021/10/15,71279.02427,15549.25417
2021/10/16,67174.48093,20403.23024
2021/10/17,67228.54863,12933.37676
2021/10/18,70761.62877,14027.25507
2021/10/19,79720.38524,18554.45517
2021/10/20,55717.91171,17714.46349
2021/10/21,69551.8305,15063.34308
2021/10/22,60188.72425,19817.32806
2021/10/23,71938.36941,16912.49754
2021/10/24,69360.26489,10140.10444
2021/10/25,71881.31823,15990.43449
2021/10/26,70258.36503,16124.41279
2021/10/27,75319.47286,17414.53096
2021/10/28,81106.10954,9857.887658
2021/10/29,67905.71419,17020.07534
2021/10/30,69434.0874,16119.48877
2021/10/31,66003.40215,20132.18646
2021/11/1,65796.75664,23112.46971
